annot1_idx,annot2_idx,distance,label1,label2
191,33,9.53512757222533,rh_7Networks_RH_Default_Temp_5,rh_17Networks_14
192,11,42.8206907412315,rh_7Networks_RH_Default_PFCv_1,lh_17Networks_10
193,29,28.5826567119672,rh_7Networks_RH_Default_PFCm_1,rh_17Networks_10
194,5,54.1360952065741,rh_7Networks_RH_Default_PFCm_2,lh_17Networks_4
195,5,33.1631242578594,rh_7Networks_RH_Default_PFCm_3,lh_17Networks_4
196,9,52.9555275823372,rh_7Networks_RH_Default_PFCm_4,lh_17Networks_8
197,27,58.5317487826481,rh_7Networks_RH_Default_PFCm_5,rh_17Networks_8
198,27,54.7428755825754,rh_7Networks_RH_Default_PFCm_6,rh_17Networks_8
199,13,64.1879278662122,rh_7Networks_RH_Default_PFCm_7,lh_17Networks_12
200,15,16.7077785859899,rh_7Networks_RH_Default_PCC_1,lh_17Networks_14
201,30,16.0997195644649,rh_7Networks_RH_Default_PCC_2,rh_17Networks_11
202,30,22.3723578621307,rh_7Networks_RH_Default_PCC_3,rh_17Networks_11
