annot1_idx,annot2_idx,distance,label1,label2
1,1,0.356165406788465,lh_Background+FreeSurfer_Defined_Medial_Wall,lh_FreeSurfer_Defined_Medial_Wall
2,2,54.8613566803208,lh_7Networks_LH_Vis_1,lh_7Networks_1
3,2,34.3506037819698,lh_7Networks_LH_Vis_2,lh_7Networks_1
4,10,20.3637303694631,lh_7Networks_LH_Vis_3,rh_7Networks_1
5,2,42.0415050262745,lh_7Networks_LH_Vis_4,lh_7Networks_1
6,2,28.284987465197,lh_7Networks_LH_Vis_5,lh_7Networks_1
7,1,54.6887869936603,lh_7Networks_LH_Vis_6,lh_FreeSurfer_Defined_Medial_Wall
8,2,13.8513199794332,lh_7Networks_LH_Vis_7,lh_7Networks_1
9,10,24.8866916789503,lh_7Networks_LH_Vis_8,rh_7Networks_1
10,2,39.1647712881338,lh_7Networks_LH_Vis_9,lh_7Networks_1
11,2,40.6121780144826,lh_7Networks_LH_Vis_10,lh_7Networks_1
12,10,39.6086061268379,lh_7Networks_LH_Vis_11,rh_7Networks_1
13,2,49.4487981595759,lh_7Networks_LH_Vis_12,lh_7Networks_1
14,2,45.3375822496962,lh_7Networks_LH_Vis_13,lh_7Networks_1
15,2,57.435574684897,lh_7Networks_LH_Vis_14,lh_7Networks_1
16,9,14.2312037578321,lh_7Networks_LH_SomMot_1,rh_FreeSurfer_Defined_Medial_Wall
17,9,49.414608576577,lh_7Networks_LH_SomMot_2,rh_FreeSurfer_Defined_Medial_Wall
18,9,48.1914897724374,lh_7Networks_LH_SomMot_3,rh_FreeSurfer_Defined_Medial_Wall
19,5,68.4017143333117,lh_7Networks_LH_SomMot_4,lh_7Networks_4
20,3,70.6357490159817,lh_7Networks_LH_SomMot_5,lh_7Networks_2
21,3,47.9453249127722,lh_7Networks_LH_SomMot_6,lh_7Networks_2
22,3,44.6712563559219,lh_7Networks_LH_SomMot_7,lh_7Networks_2
23,11,52.3065081715591,lh_7Networks_LH_SomMot_8,rh_7Networks_2
24,3,46.5519881601206,lh_7Networks_LH_SomMot_9,lh_7Networks_2
25,3,44.843602131188,lh_7Networks_LH_SomMot_10,lh_7Networks_2
26,4,46.8225806568825,lh_7Networks_LH_SomMot_11,lh_7Networks_3
27,3,55.0320013546405,lh_7Networks_LH_SomMot_12,lh_7Networks_2
28,4,53.8591826262871,lh_7Networks_LH_SomMot_13,lh_7Networks_3
29,11,54.7806606256069,lh_7Networks_LH_SomMot_14,rh_7Networks_2
30,11,42.0009411942445,lh_7Networks_LH_SomMot_15,rh_7Networks_2
31,11,59.7305622950335,lh_7Networks_LH_SomMot_16,rh_7Networks_2
32,10,47.6555894947409,lh_7Networks_LH_DorsAttn_Post_1,rh_7Networks_1
33,10,22.2056823685717,lh_7Networks_LH_DorsAttn_Post_2,rh_7Networks_1
34,12,49.4573870453936,lh_7Networks_LH_DorsAttn_Post_3,rh_7Networks_3
35,3,50.7387967209311,lh_7Networks_LH_DorsAttn_Post_4,lh_7Networks_2
36,4,48.9096915324934,lh_7Networks_LH_DorsAttn_Post_5,lh_7Networks_3
37,4,40.2555911287498,lh_7Networks_LH_DorsAttn_Post_6,lh_7Networks_3
38,12,41.4097718155987,lh_7Networks_LH_DorsAttn_Post_7,rh_7Networks_3
39,12,42.6522883938639,lh_7Networks_LH_DorsAttn_Post_8,rh_7Networks_3
40,12,45.8995387444501,lh_7Networks_LH_DorsAttn_Post_9,rh_7Networks_3
41,12,43.7461287130839,lh_7Networks_LH_DorsAttn_Post_10,rh_7Networks_3
42,3,60.7705769320849,lh_7Networks_LH_DorsAttn_FEF_1,lh_7Networks_2
43,11,62.7995824920483,lh_7Networks_LH_DorsAttn_FEF_2,rh_7Networks_2
44,3,64.5453952256003,lh_7Networks_LH_DorsAttn_PrCv_1,lh_7Networks_2
45,9,82.2183748266856,lh_7Networks_LH_SalVentAttn_ParOper_1,rh_FreeSurfer_Defined_Medial_Wall
46,3,60.919585675245,lh_7Networks_LH_SalVentAttn_ParOper_2,lh_7Networks_2
47,3,69.156968529115,lh_7Networks_LH_SalVentAttn_ParOper_3,lh_7Networks_2
48,9,25.365962826935,lh_7Networks_LH_SalVentAttn_FrOper_1,rh_FreeSurfer_Defined_Medial_Wall
49,9,49.7233089467577,lh_7Networks_LH_SalVentAttn_FrOper_2,rh_FreeSurfer_Defined_Medial_Wall
50,9,45.5600226839239,lh_7Networks_LH_SalVentAttn_FrOper_3,rh_FreeSurfer_Defined_Medial_Wall
51,5,63.4747689673483,lh_7Networks_LH_SalVentAttn_FrOper_4,lh_7Networks_4
52,15,63.5955075769339,lh_7Networks_LH_SalVentAttn_PFCl_1,rh_7Networks_6
53,11,63.054989012,lh_7Networks_LH_SalVentAttn_Med_1,rh_7Networks_2
54,11,50.8035728003864,lh_7Networks_LH_SalVentAttn_Med_2,rh_7Networks_2
55,11,46.6423432413124,lh_7Networks_LH_SalVentAttn_Med_3,rh_7Networks_2
56,14,34.8232591790184,lh_7Networks_LH_Limbic_OFC_1,rh_7Networks_5
57,6,53.9570341757579,lh_7Networks_LH_Limbic_OFC_2,lh_7Networks_5
